Year,WBIC,level
2013,200300,907.089387580464
2014,200300,922.4459668251367
2015,200300,928.5068757885394
1948,1849100,1000
1949,1849100,986.6583524395277
1950,1849100,980.6865250765923
1951,1849100,1005.3353804972219
1952,1849100,987.1439159145187
1953,1849100,978.6065726945794
1954,1849100,1000.5384911959321
1955,1849100,988.8715319766051
1956,1849100,973.0390508342382
1957,1849100,961.0922738921714
1958,1849100,942.5484727291221
1959,1849100,947.910984888304
1960,1849100,947.2650232887089
1961,1849100,938.1508989695327
1962,1849100,947.304966190427
1963,1849100,938.1597298448403
1964,1849100,923.8719095811699
1965,1849100,940.3832623129084
1966,1849100,926.9857347810737
1967,1849100,928.4443126598607
1968,1849100,966.6958182312828
1969,1849100,949.1681197492401
1970,1849100,963.5798441831846
1971,1849100,973.2632562517912
1972,1849100,987.7221896316016
1973,1849100,990.4180161703758
1974,1849100,965.7002339713578
1975,1849100,981.4866732291299
1976,1849100,939.3017905357419
1977,1849100,963.3996089683568
1978,1849100,964.4041964941181
1979,1849100,972.0609863898519
1980,1849100,978.2479813643264
1981,1849100,975.0453436269247
1982,1849100,996.6522248324138
1983,1849100,1009.2472365850376
1984,1849100,1014.5044534146076
1985,1849100,1020.3334366709074
1986,1849100,1037.560858891683
1987,1849100,1024.2890801304325
1988,1849100,988.7691194132309
1989,1849100,979.6940671404146
1990,1849100,994.4687030723511
1991,1849100,1019.4013280124693
1992,1849100,1013.7629653141105
1993,1849100,1019.8613144664567
1994,1849100,1014.6878811506667
1995,1849100,1024.6944884185739
1996,1849100,1032.4828855569685
1997,1849100,1029.2207218653468
1998,1849100,1018.6001087322829
1999,1849100,1018.2442846603382
2000,1849100,1029.1335593775966
2001,1849100,1043.4096635766334
2002,1849100,1071.3080770853298
2003,1849100,1054.3110568211794
2004,1849100,1049.3055799508386
2005,1849100,1035.8559181368068
2006,1849100,1010.3471928297915
2007,1849100,997.923514462935
2008,1849100,982.602227047453
2009,1849100,955.0732102271955
2010,1849100,965.9992865262218
2011,1849100,953.7201014927945
2012,1849100,922.1347732544342
2013,1849100,914.9237005938487
2014,1849100,954.3970192994113
2015,1849100,968.8608214831165
1948,2486300,1000
1949,2486300,994.89330896728
1950,2486300,998.8856360660739
1951,2486300,1032.7505730502169
1952,2486300,1030.444201878856
1953,2486300,1041.524344797531
1954,2486300,1062.7826067073088
1955,2486300,1064.199307818707
1956,2486300,1054.2193642529296
1957,2486300,1054.2279317274038
1958,2486300,1040.8558839355771
1959,2486300,1040.7331078287962
1960,2486300,1035.46523158126
1961,2486300,1028.505839315471
1962,2486300,1030.2091737735955
1963,2486300,1007.4228017996825
1964,2486300,1001.9115253027204
1965,2486300,1019.2084180611787
1966,2486300,1012.0071868026731
1967,2486300,1007.0905804373771
1968,2486300,1042.797467944386
1969,2486300,1027.719577667319
1970,2486300,1037.812768430564
1971,2486300,1050.875720971877
1972,2486300,1060.5680705047957
1973,2486300,1067.029841630829
1974,2486300,1057.6169937646916
1975,2486300,1055.0425390630878
1976,2486300,1014.6541579891369
1977,2486300,1041.2324019631776
1978,2486300,1042.661729288852
1979,2486300,1040.3407587801314
1980,2486300,1031.6087850885035
1981,2486300,1035.2606806388005
1982,2486300,1052.9378727159701
1983,2486300,1065.1584006474304
1984,2486300,1075.6818441933901
1985,2486300,1091.452948397891
1986,2486300,1111.498825393385
1987,2486300,1082.9830834987806
1988,2486300,1058.2165675293468
1989,2486300,1043.7157816450758
1990,2486300,1040.8333135670987
1991,2486300,1064.3092404300298
1992,2486300,1054.350916539434
1993,2486300,1044.9806557551558
1994,2486300,1054.243342020813
1995,2486300,1061.0791934420752
1996,2486300,1082.75159227675
1997,2486300,1063.8437088449289
1998,2486300,1047.7843874310436
1999,2486300,1057.228303774987
2000,2486300,1045.9792404506218
2001,2486300,1045.6724546269759
2002,2486300,1057.226319657421
2003,2486300,1044.5110274197204
2004,2486300,1058.6017503463092
2005,2486300,1057.0442488594476
2006,2486300,1031.175163035191
2007,2486300,1015.8069987443081
2008,2486300,1015.9779142055372
2009,2486300,999.8789131423738
2010,2486300,1025.3442341037687
2011,2486300,1020.0297729353603
2012,2486300,1011.0859089419743
2013,2486300,1012.6367708484195
2014,2486300,1057.2182841941606
2015,2486300,1073.006272246596
1948,2705700,1000
1949,2705700,997.3366761919139
1950,2705700,1002.7292445804234
1951,2705700,1039.9220654383344
1952,2705700,1039.8803715428528
1953,2705700,1054.180573696862
1954,2705700,1077.2398260059529
1955,2705700,1079.7254134917318
1956,2705700,1074.0818403109915
1957,2705700,1078.3199667986974
1958,2705700,1063.3264894302529
1959,2705700,1067.5170240342125
1960,2705700,1064.9598183243727
1961,2705700,1060.1488996159967
1962,2705700,1061.9008840152387
1963,2705700,1041.9108203180197
1964,2705700,1039.5591053457144
1965,2705700,1061.017535143762
1966,2705700,1049.4821638869107
1967,2705700,1045.2833850217814
1968,2705700,1080.2617843875992
1969,2705700,1065.422705624412
1970,2705700,1077.8730038525257
1971,2705700,1088.3336046136096
1972,2705700,1099.450134650495
1973,2705700,1104.8174646721345
1974,2705700,1094.2185668963064
1975,2705700,1093.8824141817915
1976,2705700,1055.9328742524287
